1位	A型	みずがめ座	亥年	甚だしいエアメール
2位	A型	しし座	巳年	わざとらしい季節
3位	O型	おうし座	亥年	生温い紅茶
4位	B型	いて座	申年	ずうずうしいポケット
5位	O型	てんびん座	巳年	とんでもない歯
6位	A型	うお座	戌年	青い棚
7位	AB型	いて座	寅年	かっこいい封筒
8位	AB型	かに座	未年	温い博士
9位	A型	おひつじ座	辰年	茶色い高校
10位	A型	おひつじ座	卯年	速い原爆ドーム
11位	B型	おひつじ座	午年	痛い洗濯物
12位	B型	やぎ座	丑年	妬ましいチャンス
13位	A型	おうし座	亥年	嬉しいエアコン
14位	O型	やぎ座	寅年	温かい賞金
15位	A型	おうし座	酉年	細かい来年
16位	O型	てんびん座	未年	目まぐるしい靴
17位	AB型	うお座	未年	よろしいセーター
18位	B型	いて座	辰年	悪いボーナス
19位	B型	おうし座	丑年	重い乗り物
20位	B型	さそり座	申年	かなわない薬
21位	A型	てんびん座	申年	無い号
22位	B型	しし座	申年	手強い歌舞伎
23位	A型	みずがめ座	申年	正しい会社
24位	A型	うお座	酉年	厚い祭り
25位	B型	ふたご座	巳年	奥深い船便
26位	A型	おとめ座	酉年	うるさい今晩
27位	AB型	いて座	卯年	芳しい初めに
28位	O型	おとめ座	酉年	真っ白いカセットテープ
29位	B型	しし座	辰年	我慢強いチケット
30位	A型	おうし座	巳年	思いもよらない説明書
31位	AB型	さそり座	酉年	見苦しいパンチ
32位	O型	ふたご座	亥年	ばからしい熱
33位	A型	いて座	丑年	みずみずしい天ぷら
34位	A型	てんびん座	酉年	見苦しい宇宙
35位	O型	さそり座	申年	汗臭い成人式
36位	B型	おうし座	巳年	ありがたい妹
37位	O型	うお座	亥年	すさまじい上着
38位	B型	おうし座	寅年	気難しい故障
39位	B型	しし座	亥年	義理堅い天気予報
40位	O型	かに座	亥年	鈍い（にぶい）バス停
41位	B型	おひつじ座	子年	疎い成人式
42位	B型	しし座	巳年	短いラジオ
43位	B型	うお座	寅年	妬ましい騒音
44位	B型	ふたご座	寅年	見苦しい給料
45位	O型	かに座	巳年	黒いベートーベン
46位	AB型	おとめ座	丑年	緩い人
47位	AB型	おひつじ座	寅年	名高い家具
48位	A型	しし座	卯年	楽しい使用禁止
49位	O型	みずがめ座	卯年	苦しいデート
50位	A型	おとめ座	丑年	えらい会議
51位	O型	さそり座	卯年	細い和食
52位	O型	さそり座	子年	意地悪い女性
53位	B型	うお座	戌年	義理堅いピアノ
54位	B型	てんびん座	辰年	悲しい和食
55位	AB型	おうし座	午年	赤いテープレコーダー
56位	O型	おうし座	戌年	黄色いお姫様
57位	A型	おうし座	子年	後ろめたい辞書
58位	A型	うお座	卯年	嘆かわしい文学
59位	B型	おとめ座	辰年	真っ白い運転手
60位	AB型	しし座	巳年	気難しい鳥
61位	O型	いて座	子年	やむを得ないお菓子
62位	O型	いて座	申年	儚いお見舞い
63位	A型	かに座	巳年	憎らしい針
64位	AB型	おとめ座	未年	多い本日休業
65位	B型	おひつじ座	寅年	難しい社員
66位	AB型	おとめ座	午年	堅苦しい規則
67位	A型	おひつじ座	丑年	あっけないフォーク
68位	O型	てんびん座	亥年	計算高い人口
69位	B型	おうし座	未年	偉い書留
70位	O型	うお座	子年	憎い支社
71位	A型	おとめ座	戌年	そそっかしいタンス
72位	O型	いて座	亥年	勇ましいメキシコ
73位	B型	てんびん座	亥年	苦い宅配便
74位	AB型	ふたご座	申年	蒸し暑い市役所
75位	AB型	みずがめ座	寅年	黒っぽい準備
76位	AB型	しし座	戌年	用心深い娘
77位	A型	おうし座	未年	煙い床屋
78位	B型	みずがめ座	卯年	危うい家族
79位	O型	やぎ座	未年	新しい波
80位	O型	みずがめ座	寅年	薄明るい暖房
81位	B型	いて座	午年	厚い日本語
82位	B型	みずがめ座	辰年	可愛らしい季節
83位	O型	やぎ座	子年	明るい貿易
84位	AB型	さそり座	戌年	丸い駅前
85位	O型	おとめ座	戌年	でかい天気予報
86位	A型	おひつじ座	戌年	生温い朝ご飯
87位	AB型	いて座	申年	太いやかん
88位	AB型	てんびん座	戌年	ひどいサンドイッチ
89位	AB型	やぎ座	戌年	義理堅い半年
90位	A型	やぎ座	子年	心細い今夜
91位	O型	おうし座	寅年	熱いビデオ
92位	B型	ふたご座	午年	きめ細かい留守
93位	A型	やぎ座	卯年	面白い犯人
94位	O型	しし座	寅年	惜しい悪弾
95位	B型	ふたご座	辰年	かっこ悪い危篤
96位	A型	おうし座	午年	途方もない私
97位	AB型	やぎ座	午年	そっけない航空便
98位	B型	さそり座	寅年	濃い眼鏡
99位	O型	おひつじ座	辰年	酸っぱいベッド
100位	B型	いて座	戌年	すがすがしい億
101位	AB型	いて座	未年	くすぐったいすき焼き
102位	AB型	おひつじ座	子年	うっとおしいお客さん
103位	A型	しし座	酉年	紛らわしい朝ご飯
104位	B型	かに座	酉年	かしましい社員
105位	O型	てんびん座	卯年	煙い船
106位	O型	おひつじ座	亥年	難しいコップ
107位	B型	ふたご座	卯年	かしましい郵便局
108位	AB型	みずがめ座	子年	速い犯人
109位	O型	てんびん座	辰年	煩わしい彼
110位	AB型	やぎ座	卯年	見苦しい万
111位	O型	みずがめ座	午年	温い洗濯物
112位	B型	みずがめ座	巳年	お姉さん
113位	AB型	うお座	午年	平たい前
114位	O型	さそり座	寅年	白い電気屋
115位	O型	おとめ座	寅年	貧しい週末
116位	B型	かに座	寅年	辛抱強いコンピューター
117位	AB型	うお座	巳年	偉い操作
118位	A型	しし座	辰年	嘆かわしい布団
119位	B型	いて座	巳年	うるさい千
120位	O型	かに座	子年	手強いドライブ
121位	A型	さそり座	未年	古めかしい案内書
122位	B型	うお座	午年	やむを得ない封筒
123位	A型	しし座	午年	頼もしい叔母
124位	O型	さそり座	巳年	堅いスケジュール
125位	O型	うお座	丑年	小さい今
126位	B型	やぎ座	戌年	憎いフロント
127位	B型	てんびん座	丑年	細長い将来
128位	O型	てんびん座	申年	白い人口
129位	A型	みずがめ座	午年	回りくどい雪まつり
130位	B型	うお座	丑年	紛らわしいインドネシア
131位	A型	みずがめ座	卯年	図々しい調査
132位	A型	いて座	未年	平たいお菓子
133位	O型	いて座	巳年	細い空気
134位	A型	てんびん座	午年	義理堅い道具
135位	AB型	しし座	卯年	やむを得ない野菜
136位	AB型	てんびん座	辰年	思いがけない矢印
137位	O型	やぎ座	巳年	多い様子
138位	B型	ふたご座	丑年	臭い鍋
139位	B型	かに座	子年	途方もない 喫茶店
140位	O型	かに座	寅年	卑しい封筒
141位	AB型	うお座	申年	思いがけない灰皿
142位	A型	おひつじ座	子年	良い猿
143位	B型	てんびん座	申年	心細い来週
144位	A型	しし座	申年	しょっぱい美術
145位	O型	いて座	未年	粘り強い耳
146位	B型	おひつじ座	未年	気難しいガスレンジ
